# Force and moment coefficients
# dragDir     : (9.708389e-01 2.397330e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# rollAxis    : (9.708389e-01 2.397330e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# magUInf     : 6.180220e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.00271       	2.640305e-01	-1.610960e-01	4.251264e-01	5.862224e-01	-5.180476e-02	6.380272e-01	-3.449160e-01	-2.931112e-01	1.320152e-01	-2.091339e-22	1.320152e-01	-1.320152e-01
0.00272       	2.640524e-01	-1.611759e-01	4.252283e-01	5.864042e-01	-5.179582e-02	6.382001e-01	-3.449979e-01	-2.932021e-01	1.320262e-01	-2.105061e-22	1.320262e-01	-1.320262e-01
0.00273       	2.640767e-01	-1.612570e-01	4.253338e-01	5.865908e-01	-5.179311e-02	6.383839e-01	-3.450885e-01	-2.932954e-01	1.320384e-01	-2.127078e-22	1.320384e-01	-1.320384e-01
0.00274       	2.641041e-01	-1.613378e-01	4.254419e-01	5.867797e-01	-5.179571e-02	6.385755e-01	-3.451856e-01	-2.933899e-01	1.320520e-01	-2.151312e-22	1.320520e-01	-1.320520e-01
0.00275       	2.641395e-01	-1.614197e-01	4.255592e-01	5.869789e-01	-5.180468e-02	6.387836e-01	-3.452941e-01	-2.934895e-01	1.320698e-01	-2.146558e-22	1.320698e-01	-1.320698e-01
0.00276       	2.641768e-01	-1.615030e-01	4.256798e-01	5.871827e-01	-5.181496e-02	6.389977e-01	-3.454063e-01	-2.935914e-01	1.320884e-01	-2.122425e-22	1.320884e-01	-1.320884e-01
0.00277       	2.642073e-01	-1.615911e-01	4.257984e-01	5.873895e-01	-5.182386e-02	6.392133e-01	-3.455186e-01	-2.936947e-01	1.321036e-01	-2.101268e-22	1.321036e-01	-1.321036e-01
0.00278       	2.642323e-01	-1.616856e-01	4.259179e-01	5.876034e-01	-5.183374e-02	6.394372e-01	-3.456354e-01	-2.938017e-01	1.321162e-01	-2.086693e-22	1.321162e-01	-1.321162e-01
0.00279       	2.642581e-01	-1.617819e-01	4.260400e-01	5.878219e-01	-5.184021e-02	6.396622e-01	-3.457512e-01	-2.939110e-01	1.321291e-01	-2.082524e-22	1.321291e-01	-1.321291e-01
0.0028        	2.642887e-01	-1.618761e-01	4.261648e-01	5.880408e-01	-5.184097e-02	6.398818e-01	-3.458614e-01	-2.940204e-01	1.321443e-01	-2.082024e-22	1.321443e-01	-1.321443e-01
0.00281       	2.643238e-01	-1.619649e-01	4.262887e-01	5.882536e-01	-5.183690e-02	6.400905e-01	-3.459637e-01	-2.941268e-01	1.321619e-01	-2.095915e-22	1.321619e-01	-1.321619e-01
0.00282       	2.643608e-01	-1.620488e-01	4.264096e-01	5.884585e-01	-5.182863e-02	6.402871e-01	-3.460579e-01	-2.942292e-01	1.321804e-01	-2.104180e-22	1.321804e-01	-1.321804e-01
0.00283       	2.643933e-01	-1.621293e-01	4.265225e-01	5.886518e-01	-5.181664e-02	6.404685e-01	-3.461426e-01	-2.943259e-01	1.321966e-01	-2.098797e-22	1.321966e-01	-1.321966e-01
0.00284       	2.644163e-01	-1.622064e-01	4.266227e-01	5.888291e-01	-5.179779e-02	6.406268e-01	-3.462123e-01	-2.944145e-01	1.322081e-01	-2.096425e-22	1.322081e-01	-1.322081e-01
0.00285       	2.644358e-01	-1.622827e-01	4.267185e-01	5.890011e-01	-5.177779e-02	6.407789e-01	-3.462784e-01	-2.945006e-01	1.322179e-01	-2.097957e-22	1.322179e-01	-1.322179e-01
0.00286       	2.644599e-01	-1.623597e-01	4.268196e-01	5.891793e-01	-5.176178e-02	6.409411e-01	-3.463514e-01	-2.945896e-01	1.322300e-01	-2.091910e-22	1.322300e-01	-1.322300e-01
0.00287       	2.644840e-01	-1.624342e-01	4.269182e-01	5.893525e-01	-5.174534e-02	6.410978e-01	-3.464216e-01	-2.946762e-01	1.322420e-01	-2.066765e-22	1.322420e-01	-1.322420e-01
0.00288       	2.645022e-01	-1.625070e-01	4.270092e-01	5.895162e-01	-5.172552e-02	6.412417e-01	-3.464836e-01	-2.947581e-01	1.322511e-01	-2.053765e-22	1.322511e-01	-1.322511e-01
0.00289       	2.645289e-01	-1.625839e-01	4.271128e-01	5.896968e-01	-5.171712e-02	6.414139e-01	-3.465655e-01	-2.948484e-01	1.322644e-01	-2.072264e-22	1.322644e-01	-1.322644e-01
0.0029        	2.645471e-01	-1.626602e-01	4.272073e-01	5.898676e-01	-5.170050e-02	6.415681e-01	-3.466343e-01	-2.949338e-01	1.322735e-01	-2.123211e-22	1.322735e-01	-1.322735e-01
0.00291       	2.645647e-01	-1.627420e-01	4.273068e-01	5.900488e-01	-5.168781e-02	6.417366e-01	-3.467122e-01	-2.950244e-01	1.322824e-01	-2.175697e-22	1.322824e-01	-1.322824e-01
0.00292       	2.645830e-01	-1.628249e-01	4.274079e-01	5.902328e-01	-5.167756e-02	6.419104e-01	-3.467940e-01	-2.951164e-01	1.322915e-01	-2.202842e-22	1.322915e-01	-1.322915e-01
0.00293       	2.646139e-01	-1.629062e-01	4.275201e-01	5.904263e-01	-5.167532e-02	6.421016e-01	-3.468885e-01	-2.952131e-01	1.323069e-01	-2.209253e-22	1.323069e-01	-1.323069e-01
0.00294       	2.646628e-01	-1.629865e-01	4.276493e-01	5.906357e-01	-5.168833e-02	6.423241e-01	-3.470062e-01	-2.953179e-01	1.323314e-01	-2.208043e-22	1.323314e-01	-1.323314e-01
